Frame,change,count
0,0,18
1,0,18
2,0,18
3,0,18
4,0,18
5,0,18
6,0,18
7,0,18
8,0,18
9,0,18
10,0,18
11,0,18
12,0,18
13,0,18
14,0,18
15,0,18
16,0,18
17,0,18
18,0,18
19,0,18
20,0,18
21,0,18
22,0,18
23,0,18
24,0,18
25,0,18
26,0,18
27,0,18
28,0,18
29,0,18
30,0,18
31,0,18
32,0,18
33,0,18
34,0,18
35,0,18
36,0,18
37,0,18
38,0,18
39,0,18
40,0,18
41,0,18
42,0,18
43,0,18
44,0,18
45,0,18
46,0,18
47,0,18
48,0,18
49,0,18
50,0,18
51,0,18
52,0,18
53,0,18
54,0,18
55,0,18
56,0,18
57,0,18
58,0,18
59,0,18
60,0,18
61,0,18
62,0,18
63,0,18
64,0,18
65,0,18
66,0,18
67,0,18
68,0,18
69,0,18
70,0,18
71,0,18
72,0,18
73,0,18
74,0,18
75,0,18
76,0,18
77,0,18
78,0,18
79,0,18
80,0,18
81,0,18
82,0,18
83,0,18
84,0,18
85,0,18
86,0,18
87,0,18
88,0,18
89,0,18
90,0,18
91,1,19
92,0,19
93,0,19
94,0,19
95,0,19
96,0,19
97,0,19
98,0,19
99,0,19
100,0,19
101,0,19
102,0,19
103,0,19
104,0,19
105,0,19
106,0,19
107,0,19
108,0,19
109,0,19
110,0,19
111,0,19
112,0,19
113,0,19
114,0,19
115,0,19
116,0,19
117,0,19
118,0,19
119,0,19
120,0,19
121,0,19
122,0,19
123,0,19
124,0,19
125,0,19
126,0,19
127,0,19
128,0,19
129,0,19
130,0,19
131,0,19
132,0,19
133,0,19
134,0,19
135,0,19
136,0,19
137,0,19
138,0,19
139,0,19
140,0,19
141,0,19
142,0,19
143,0,19
144,0,19
145,0,19
146,0,19
147,0,19
148,0,19
149,0,19
150,0,19
151,0,19
152,0,19
153,0,19
154,0,19
155,0,19
156,0,19
157,0,19
158,0,19
159,0,19
160,0,19
161,0,19
162,0,19
163,0,19
164,0,19
165,0,19
166,0,19
167,0,19
168,0,19
169,0,19
170,0,19
171,0,19
172,0,19
173,0,19
174,0,19
175,0,19
176,0,19
177,0,19
178,0,19
179,0,19
180,0,19
181,0,19
182,0,19
183,0,19
184,0,19
185,0,19
186,0,19
187,0,19
188,0,19
189,0,19
190,0,19
191,0,19
192,0,19
193,0,19
194,0,19
195,0,19
196,0,19
197,0,19
198,0,19
199,0,19
200,0,19
201,0,19
202,0,19
203,0,19
204,0,19
205,0,19
206,0,19
207,0,19
208,0,19
209,0,19
210,0,19
211,0,19
212,0,19
213,0,19
214,0,19
215,0,19
216,0,19
217,0,19
218,0,19
219,0,19
220,0,19
221,0,19
222,0,19
223,0,19
224,0,19
225,0,19
226,0,19
227,0,19
228,0,19
229,0,19
230,0,19
231,0,19
232,0,19
233,0,19
234,0,19
235,0,19
236,0,19
237,0,19
238,0,19
239,0,19
240,0,19
241,0,19
242,0,19
243,0,19
244,0,19
245,0,19
246,0,19
247,0,19
248,0,19
249,0,19
250,0,19
251,0,19
252,0,19
253,0,19
254,0,19
255,0,19
256,0,19
257,0,19
258,0,19
259,0,19
260,0,19
261,0,19
262,0,19
263,0,19
264,0,19
265,0,19
266,0,19
267,0,19
268,0,19
269,0,19
270,0,19
271,0,19
272,0,19
273,0,19
274,0,19
275,0,19
276,0,19
277,0,19
278,0,19
279,0,19
280,0,19
281,0,19
282,0,19
283,0,19
284,0,19
285,0,19
286,0,19
287,0,19
288,0,19
289,0,19
290,0,19
291,0,19
292,0,19
293,0,19
294,0,19
295,0,19
296,0,19
297,0,19
298,0,19
299,0,19
300,0,19
301,0,19
302,0,19
303,0,19
304,0,19
305,0,19
306,0,19
307,0,19
308,0,19
309,0,19
310,0,19
311,0,19
312,0,19
